2026-04-02 18:00:49==================================================
Epoch   1/30 | Loss: 1.2480 | Acc: 31.25% | Time: 52053ms | Val Loss: 1.1817 | Val Acc: 50.00%
Epoch   2/30 | Loss: 0.9993 | Acc: 43.75% | Time: 53001ms | Val Loss: 1.0774 | Val Acc: 43.75%
Epoch   3/30 | Loss: 0.9917 | Acc: 53.12% | Time: 52465ms | Val Loss: 0.9895 | Val Acc: 56.25%
Epoch   4/30 | Loss: 0.9823 | Acc: 59.38% | Time: 50270ms | Val Loss: 1.0513 | Val Acc: 50.00%
Epoch   5/30 | Loss: 0.9429 | Acc: 53.12% | Time: 50840ms | Val Loss: 1.0557 | Val Acc: 43.75%
Epoch   6/30 | Loss: 1.1177 | Acc: 50.00% | Time: 51325ms | Val Loss: 1.0234 | Val Acc: 56.25%
Epoch   7/30 | Loss: 0.9218 | Acc: 53.12% | Time: 51436ms | Val Loss: 1.0923 | Val Acc: 31.25%
Epoch   8/30 | Loss: 1.0256 | Acc: 37.50% | Time: 51365ms | Val Loss: 1.0457 | Val Acc: 37.50%
Epoch   9/30 | Loss: 1.0589 | Acc: 34.38% | Time: 51730ms | Val Loss: 1.0193 | Val Acc: 62.50%
Epoch  10/30 | Loss: 0.9984 | Acc: 53.12% | Time: 50320ms | Val Loss: 1.1268 | Val Acc: 43.75%
Epoch  11/30 | Loss: 1.0073 | Acc: 53.12% | Time: 51678ms | Val Loss: 0.9534 | Val Acc: 56.25%
Epoch  12/30 | Loss: 1.0246 | Acc: 43.75% | Time: 51307ms | Val Loss: 1.0312 | Val Acc: 56.25%
Epoch  13/30 | Loss: 0.9128 | Acc: 56.25% | Time: 53916ms | Val Loss: 0.8518 | Val Acc: 56.25%
Epoch  14/30 | Loss: 0.9467 | Acc: 53.12% | Time: 51356ms | Val Loss: 1.1230 | Val Acc: 31.25%
Epoch  15/30 | Loss: 0.9815 | Acc: 43.75% | Time: 50840ms | Val Loss: 1.1015 | Val Acc: 37.50%
Epoch  16/30 | Loss: 0.9649 | Acc: 40.62% | Time: 50947ms | Val Loss: 1.1240 | Val Acc: 43.75%
Epoch  17/30 | Loss: 0.9015 | Acc: 53.12% | Time: 51210ms | Val Loss: 0.9983 | Val Acc: 43.75%
Epoch  18/30 | Loss: 1.0418 | Acc: 56.25% | Time: 51146ms | Val Loss: 1.0174 | Val Acc: 50.00%
Epoch  19/30 | Loss: 1.0421 | Acc: 50.00% | Time: 51006ms | Val Loss: 1.1931 | Val Acc: 37.50%
Epoch  20/30 | Loss: 0.9446 | Acc: 46.88% | Time: 51013ms | Val Loss: 1.0531 | Val Acc: 37.50%
Epoch  21/30 | Loss: 0.9982 | Acc: 46.88% | Time: 51442ms | Val Loss: 1.0028 | Val Acc: 50.00%
Epoch  22/30 | Loss: 0.9514 | Acc: 53.12% | Time: 51048ms | Val Loss: 1.0730 | Val Acc: 50.00%
Epoch  23/30 | Loss: 0.9862 | Acc: 46.88% | Time: 51149ms | Val Loss: 0.9204 | Val Acc: 62.50%
Epoch  24/30 | Loss: 0.9359 | Acc: 46.88% | Time: 51611ms | Val Loss: 0.9352 | Val Acc: 31.25%
Epoch  25/30 | Loss: 0.9922 | Acc: 50.00% | Time: 51230ms | Val Loss: 0.9522 | Val Acc: 50.00%
Epoch  26/30 | Loss: 0.9274 | Acc: 53.12% | Time: 51208ms | Val Loss: 1.0277 | Val Acc: 50.00%
Epoch  27/30 | Loss: 0.9521 | Acc: 50.00% | Time: 51886ms | Val Loss: 0.9742 | Val Acc: 56.25%
Epoch  28/30 | Loss: 1.0349 | Acc: 50.00% | Time: 56245ms | Val Loss: 1.1244 | Val Acc: 50.00%
Epoch  29/30 | Loss: 1.0030 | Acc: 53.12% | Time: 51228ms | Val Loss: 1.1155 | Val Acc: 43.75%
Epoch  30/30 | Loss: 0.8334 | Acc: 56.25% | Time: 51267ms | Val Loss: 0.9815 | Val Acc: 37.50%
