========================================
Epoch  1/15 | Loss: 0.9985 | Acc: 51.33% | Val Loss: 1.1012 | Val Acc: 41.00%
Epoch  2/15 | Loss: 0.9880 | Acc: 46.00% | Val Loss: 1.0924 | Val Acc: 41.00%
Epoch  3/15 | Loss: 0.9757 | Acc: 49.33% | Val Loss: 1.1036 | Val Acc: 41.00%
Epoch  4/15 | Loss: 0.9727 | Acc: 48.33% | Val Loss: 1.0954 | Val Acc: 41.00%
Epoch  5/15 | Loss: 0.9622 | Acc: 51.00% | Val Loss: 1.0917 | Val Acc: 41.00%
Epoch  6/15 | Loss: 0.9299 | Acc: 54.33% | Val Loss: 1.0834 | Val Acc: 41.00%
Epoch  7/15 | Loss: 0.9488 | Acc: 50.00% | Val Loss: 1.0498 | Val Acc: 42.00%
Epoch  8/15 | Loss: 0.8935 | Acc: 52.67% | Val Loss: 1.0682 | Val Acc: 44.00%
Epoch  9/15 | Loss: 0.8516 | Acc: 62.00% | Val Loss: 1.0362 | Val Acc: 52.00%
Epoch 10/15 | Loss: 0.8082 | Acc: 62.33% | Val Loss: 1.0829 | Val Acc: 52.00%
Epoch 11/15 | Loss: 0.7438 | Acc: 65.67% | Val Loss: 1.0704 | Val Acc: 50.00%
Epoch 12/15 | Loss: 0.7086 | Acc: 68.00% | Val Loss: 1.0825 | Val Acc: 47.00%
Epoch 13/15 | Loss: 0.6561 | Acc: 70.33% | Val Loss: 1.1866 | Val Acc: 47.00%
Epoch 14/15 | Loss: 0.5989 | Acc: 76.67% | Val Loss: 1.1885 | Val Acc: 46.00%
Epoch 15/15 | Loss: 0.5158 | Acc: 78.33% | Val Loss: 1.1825 | Val Acc: 49.00%
========================================
Epoch  1/15 | Loss: 1.0712 | Acc: 44.67% | Val Loss: 1.0727 | Val Acc: 41.00%
Epoch  2/15 | Loss: 0.9893 | Acc: 42.67% | Val Loss: 1.1009 | Val Acc: 41.00%
Epoch  3/15 | Loss: 0.9891 | Acc: 45.67% | Val Loss: 1.0747 | Val Acc: 41.00%
Epoch  4/15 | Loss: 0.9604 | Acc: 51.00% | Val Loss: 1.1590 | Val Acc: 41.00%
Epoch  5/15 | Loss: 0.9657 | Acc: 51.33% | Val Loss: 1.0713 | Val Acc: 41.00%
Epoch  6/15 | Loss: 0.9438 | Acc: 51.00% | Val Loss: 1.0859 | Val Acc: 41.00%
Epoch  7/15 | Loss: 0.9227 | Acc: 52.33% | Val Loss: 1.0587 | Val Acc: 41.00%
Epoch  8/15 | Loss: 0.8843 | Acc: 55.67% | Val Loss: 1.0443 | Val Acc: 54.00%
Epoch  9/15 | Loss: 0.8621 | Acc: 61.00% | Val Loss: 1.0464 | Val Acc: 48.00%
Epoch 10/15 | Loss: 0.8070 | Acc: 61.33% | Val Loss: 1.0707 | Val Acc: 55.00%
Epoch 11/15 | Loss: 0.7609 | Acc: 68.67% | Val Loss: 1.0361 | Val Acc: 50.00%
Epoch 12/15 | Loss: 0.7128 | Acc: 70.67% | Val Loss: 1.0479 | Val Acc: 48.00%
Epoch 13/15 | Loss: 0.6426 | Acc: 72.33% | Val Loss: 1.1086 | Val Acc: 45.00%
Epoch 14/15 | Loss: 0.6010 | Acc: 75.33% | Val Loss: 1.1784 | Val Acc: 47.00%
Epoch 15/15 | Loss: 0.5255 | Acc: 80.33% | Val Loss: 1.2222 | Val Acc: 40.00%
========================================
Epoch  1/15 | Loss: 1.0285 | Acc: 43.67% | Val Loss: 1.0624 | Val Acc: 41.00%
Epoch  2/15 | Loss: 0.9766 | Acc: 49.67% | Val Loss: 1.1139 | Val Acc: 41.00%
Epoch  3/15 | Loss: 0.9953 | Acc: 47.67% | Val Loss: 1.0845 | Val Acc: 41.00%
Epoch  4/15 | Loss: 0.9762 | Acc: 48.67% | Val Loss: 1.1275 | Val Acc: 41.00%
Epoch  5/15 | Loss: 0.9548 | Acc: 52.67% | Val Loss: 1.0692 | Val Acc: 41.00%
Epoch  6/15 | Loss: 0.9658 | Acc: 51.33% | Val Loss: 1.0558 | Val Acc: 42.00%
Epoch  7/15 | Loss: 0.8800 | Acc: 60.67% | Val Loss: 1.2932 | Val Acc: 41.00%
Epoch  8/15 | Loss: 0.8790 | Acc: 59.67% | Val Loss: 1.0350 | Val Acc: 49.00%
Epoch  9/15 | Loss: 0.8320 | Acc: 65.00% | Val Loss: 1.0336 | Val Acc: 51.00%
Epoch 10/15 | Loss: 0.7686 | Acc: 68.33% | Val Loss: 1.1358 | Val Acc: 51.00%
Epoch 11/15 | Loss: 0.7211 | Acc: 68.33% | Val Loss: 1.0555 | Val Acc: 46.00%
Epoch 12/15 | Loss: 0.6754 | Acc: 71.00% | Val Loss: 1.0996 | Val Acc: 47.00%
Epoch 13/15 | Loss: 0.6004 | Acc: 74.67% | Val Loss: 1.1618 | Val Acc: 51.00%
